prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
549000.0,269960.0,27583.0,170000.0,103800.0,Lac-Beauport,Québec Rive-Nord,"4, montée du Bois-Franc",4.0,2.0,1.125,1.0,1050.0,14650.0
329000.0,269960.0,27583.0,170000.0,103800.0,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"2263, rue Vallerand",5.0,2.0,1.125,1.0,988.0,5428.0
495000.0,234400.0,23200.0,150000.0,103800.0,Anjou,Montréal / l'Île,"103-6850, boulevard des Roseraies",3.0,2.0,1.125,1.0,1250.0,662.84
749000.0,403290.0,42749.0,170000.0,103800.0,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"3450, rue Ovila-Hamel",7.0,2.0,1.0,2.0,2023.0,4843.76
340000.0,125936.0,13082.0,100000.0,99400.0,St-Alban,Portneuf,"139, Chemins des Rapides",3.0,1.0,1.125,1.0,1411.15,18023.09
449000.0,415000.0,26900.0,266000.0,70000.0,Victoriaville,Centre-du-Québec,"66, rue des Sapins",4.0,1.0,1.0,2.0,1536.0,7150.0
475000.0,413804.0,27245.0,170000.0,103800.0,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,"106-108, rue Gravel",4.0,2.0,1.125,1.60799591263252,1502.0240125843316,14500.0
330000.0,269960.0,27583.0,170000.0,103800.0,St-Apollinaire,Chaudière-Appalaches,"41, Du Geai-Bleu",5.0,1.0,2.0,2.0,1408.0,4886.0
395000.0,271800.0,24800.0,318000.0,103800.0,Charlesbourg,Québec Rive-Nord,"7305, avenue Vincent-Beaumont",5.0,2.0,1.125,1.0,1049.48,6525.08
689900.0,269960.0,27583.0,170000.0,103800.0,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),"33, avenue des Tilleuls",4.0,2.0,1.125,1.0,1212.0,7815.68
549000.0,349300.0,28100.0,150000.0,103800.0,Sherbrooke (Jacques-Cartier),Estrie,"1565, rue Paton",4.0,1.0,1.0,2.0,1800.0,8427.07
529000.0,262100.0,24000.0,14000.0,80000.0,St-Amable,Montérégie (Rive-Sud Montréal),"263, Des Cygnes",3.0,2.0,1.125,1.0,2636.0,4900.0
364900.0,259092.0,18276.0,113100.0,17710.0,Gatineau (Aylmer),Outaouais,"C-986, Boulevard Wilfrid-Lavigne",2.0,1.0,1.125,1.0,1000.0,3.2579418905316664e+16
754900.0,321274.0,40000.0,195000.0,98500.0,L'Ange-Gardien-Outaouais,Outaouais,"2, chemin de Ribot",3.0,2.0,1.0,2.0,2059.57,54450.0
415000.0,272550.0,20714.0,228096.0,110526.0,Sherbrooke (Fleurimont),Estrie,"2123, rue des Merisiers",2.0,2.0,1.125,1.0,960.0,10501.0
400000.0,269960.0,27583.0,170000.0,103800.0,Ste-Clotilde-De-Chateauguay,Montérégie (Rive-Sud Montréal),"46, rue des Colibris",3.0,2.0,1.0,1.0,1384.0,3290.0
249900.0,269960.0,27583.0,170000.0,103800.0,LaSalle,Montréal / l'Île,"101-7700, rue Bouvier - VIDA Lasalle - PAR MONDEV",3.3750426961174997,1.0,1.125,1.0,478.0,3.2579418905316664e+16
495000.0,182289.0,26283.0,79557.0,63656.0,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"206-2244, rue Harmony",2.0,1.0,1.0,1.0,960.0,3.2579418905316664e+16
199000.0,196285.0,22531.0,500000.0,350000.0,Ste-Victoire-De-Sorel,Montérégie (Rive-Sud Montréal),"181, rang Rhimbault",3.0,1.0,1.0,1.0,1502.0240125843316,53819.55
374900.0,303485.0,22589.0,200000.0,103800.0,Gatineau (Masson-Angers),Outaouais,"185, Des Becs-Scie",5.0,1.0,1.0,2.0,1360.0,3288.4
749000.0,387718.0,39332.0,16000.0,103800.0,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),"419, rue Schubert",4.0,1.0,1.0,2.0,1650.0,5360.0
202000.0,269960.0,27583.0,170000.0,103800.0,Ste-Hedwidge,Saguenay-Lac-Saint-Jean,"476, chemin du Lac-Rond",2.0,1.0,1.125,1.0,900.0,28925.0
629900.0,335800.0,38800.0,168000.0,103800.0,Fabreville,Laval,"4216, rue Sylvio",2.0,1.0,1.0,2.0,1240.0,3833.0
460000.0,269960.0,27583.0,170000.0,103800.0,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,"12111, rue de la Gauchetière",4.0,1.0,1.0,2.0,1270.14,1575.0
495000.0,189900.0,25100.0,170000.0,103800.0,St-Lin-Laurentides,Lanaudière,"13, rue des Mélèzes",3.0,1.0,1.0,2.0,1500.0,14000.0
244900.0,261995.0,22731.0,100000.0,103800.0,Lebourgneuf,Québec Rive-Nord,"105-2305, rue de Bogota",2.0,1.0,1.0,1.0,1267.0,3.2579418905316664e+16
459000.0,440000.0,30822.0,144000.0,105000.0,Val-Bélair,Québec Rive-Nord,"1196, rue des Cithares",3.0,1.0,1.0,2.0,1350.0,5253.0
249000.0,244400.0,15300.0,285200.0,103800.0,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"2752, rue Couture",3.0,2.0,1.0,2.0,1417.0,4570.36
591000.0,269960.0,27583.0,170000.0,103800.0,Cap-Rouge,Québec Rive-Nord,"., Domaine Le Gendre- Par SMB Dallaire",3.0,1.0,1.0,2.0,784.0,3.2579418905316664e+16
559500.0,269960.0,27583.0,170000.0,103800.0,Repentigny (Repentigny),Lanaudière,"381, rue Laval",5.0,2.0,1.0,2.0,1639.0,7007.0
995000.0,398700.0,52400.0,276000.0,108000.0,La Prairie,Montérégie (Rive-Sud Montréal),"300, rue Médard-Hébert",5.0,1.0,1.0,2.0,2281.95,6404.53
74745.0,18524.0,27583.0,170000.0,103800.0,St-Damien,Lanaudière,", chemin de l'Église",3.3750426961174997,1.6717671421997238,1.125,1.60799591263252,1502.0240125843316,22650.0
460000.0,269960.0,27583.0,170000.0,103800.0,Ste-Marthe-Sur-Le-Lac,Laurentides,40e avenue - Modèle le Granite I  Par Construction Briand,3.0,1.0,1.0,2.0,1502.0240125843316,4438.5
440000.0,148522.0,17756.0,155984.0,103800.0,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"2223, rue Florian",1.0,1.0,1.125,1.0,690.0,1300.0
326900.0,134907.0,27583.0,50000.0,103800.0,Mirabel (St-Canut),Laurentides,"405-10085, rue de l'Épervier",2.0,1.0,1.125,4.0,1065.0,3.2579418905316664e+16
179000.0,174736.0,12767.0,63739.0,103800.0,Charlesbourg,Québec Rive-Nord,"102-1305, rue de la Montagne-des-Roches",2.0,1.0,1.125,1.0,969.83,3.2579418905316664e+16
384999.0,170400.0,16000.0,170000.0,103800.0,Blainville,Laurentides,"106-66, 37e Avenue Est",2.0,1.0,1.125,1.0,1236.02,3.2579418905316664e+16
225000.0,234228.0,27583.0,19728.0,103800.0,St-Bruno,Saguenay-Lac-Saint-Jean,"510, rue de Normandie",3.0,2.0,1.125,1.0,912.0,2454.0
385000.0,354627.0,28649.0,114960.0,132400.0,Beauport,Québec Rive-Nord,"53, rue Mercier",2.0,1.0,1.125,1.0,975.0,5625.0
292000.0,238324.0,20139.0,132000.0,103800.0,Charlesbourg,Québec Rive-Nord,"1042, rue du Prince-Albert",2.0,1.0,1.0,2.0,1221.7,2214.14
365500.0,126500.0,19800.0,14000.0,103800.0,St-Nicolas,Québec Rive-Sud (Lévis),"816, rue de Vimy",4.0,1.0,1.0,2.0,1440.0,6000.0
950000.0,584500.0,60000.0,170000.0,158800.0,St-Jérôme (St-Jérôme),Laurentides,"62, rue Brière",4.0,2.0,1.125,1.60799591263252,1502.0240125843316,6448.0
389500.0,269960.0,27583.0,170000.0,103800.0,Shawinigan (Shawinigan-Sud),Mauricie,"3640, avenue Jaques-Dolbec",5.0,2.0,1.125,1.0,1230.0,6889.4438
445000.0,330000.0,20800.0,283000.0,119000.0,Victoriaville,Centre-du-Québec,"52, rue Elphège",4.0,1.0,2.0,2.0,1792.0,5715.0
329000.0,184600.0,11800.0,51000.0,49200.0,Bromont,Estrie,"202-128, boulevard de Bromont",1.0,1.0,1.125,1.0,600.0,1.0
369000.0,164200.0,14820.0,120000.0,40000.0,Sorel-Tracy,Montérégie (Rive-Sud Montréal),"3325, rue Cournoyer",4.0,1.0,2.0,1.0,850.46,3742.61
1250000.0,269960.0,27583.0,170000.0,103800.0,Ste-Adèle,Laurentides,"6572, chemin du Lac Pilon",3.3750426961174997,1.6717671421997238,1.125,1.60799591263252,1502.0240125843316,2787840.01
329999.0,269960.0,27583.0,170000.0,103800.0,St-Marc-Du-Lac-Long,Bas-Saint-Laurent,"x, route 289",3.3750426961174997,1.6717671421997238,1.125,1.60799591263252,1502.0240125843316,1140296.38
485000.0,250000.0,15000.0,150000.0,103800.0,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,"191, rue de Méribel",3.0,1.0,1.125,2.0,1400.0,1808.0
460000.0,290400.0,25000.0,170000.0,103800.0,St-Cesaire,Montérégie (Rive-Sud Montréal),"1835, Carré-Royer",4.0,2.0,1.125,1.0,1140.97,6542.3
245000.0,173400.0,6600.0,112700.0,103800.0,Val-des-Sources,Estrie,"118, 21e Avenue",1.0,1.0,1.0,1.0,840.0,11500.0
550000.0,330722.0,25180.0,104000.0,105000.0,Gatineau (Gatineau),Outaouais,"920, avenue du Cheval-Blanc",4.0,1.0,1.0,2.0,1400.0,4564.97
177000.0,178924.0,9796.0,70000.0,70000.0,Waterville,Estrie,"425, rue Principale Sud",2.0,1.0,1.125,1.0,768.0,768.0
559000.0,239196.0,24013.0,170000.0,108629.0,Ste-Marthe-Sur-Le-Lac,Laurentides,"35, 36e Avenue",3.0,2.0,1.125,1.0,856.0,5044.0
250000.0,269960.0,27583.0,170000.0,103800.0,Entrelacs,Lanaudière,", route 125",3.3750426961174997,1.6717671421997238,1.125,1.60799591263252,1502.0240125843316,363247.0
600000.0,329600.0,26740.0,170000.0,103800.0,Sherbrooke (Rock Forest),Estrie,"679, rue Charlevoix",4.0,2.0,1.0,2.0,1536.0,5617.68
405000.0,304490.0,27700.0,172800.0,103800.0,Charlesbourg,Québec Rive-Nord,"2649, rue des Tours",4.0,1.0,1.0,1.0,1280.0,6175.0
