,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
0,549000,,,,,Lac-Beauport,Québec Rive-Nord,"4, montée du Bois-Franc",4,2,,1,1050.0,14650.0
1,329000,,,,,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"2263, rue Vallerand",5,2,,1,988.0,5428.0
2,495000,"2344,00$","232,00$","1500,00$",,Anjou,Montréal / l'Île,"103-6850, boulevard des Roseraies",3,2,,1,1250.0,662.84
4,749000,"4032,90$","427,49$",,,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"3450, rue Ovila-Hamel",7,2,1,2,2023.0,4843.76
5,340000,"1259,36$","130,82$","1000,00$","994,00$",St-Alban,Portneuf,"139, Chemins des Rapides",3,1,,1,1411.15,18023.09
6,449000,"4150,00$","269,00$","2660,00$","700,00$",Victoriaville,Centre-du-Québec,"66, rue des Sapins",4,1,1,2,1536.0,7150.0
7,475000,"4138,04$","272,45$",,,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,"106-108, rue Gravel",4,2,,,,14500.0
8,330000,,,,,St-Apollinaire,Chaudière-Appalaches,"41, Du Geai-Bleu",5,1,2,2,1408.0,4886.0
9,395000,"2718,00$","248,00$","3180,00$",,Charlesbourg,Québec Rive-Nord,"7305, avenue Vincent-Beaumont",5,2,,1,1049.48,6525.08
10,689900,,,,,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),"33, avenue des Tilleuls",4,2,,1,1212.0,7815.68
11,549000,"3493,00$","281,00$","1500,00$",,Sherbrooke (Jacques-Cartier),Estrie,"1565, rue Paton",4,1,1,2,1800.0,8427.07
12,529000,"2621,00$","240,00$","140,00$","800,00$",St-Amable,Montérégie (Rive-Sud Montréal),"263, Des Cygnes",3,2,,1,2636.0,4900.0
13,364900,"2590,92$","182,76$","1131,00$","177,10$",Gatineau (Aylmer),Outaouais,"C-986, Boulevard Wilfrid-Lavigne",2,1,,1,1000.0,
14,754900,"3212,74$","400,00$","1950,00$","985,00$",L'Ange-Gardien-Outaouais,Outaouais,"2, chemin de Ribot",3,2,1,2,2059.57,54450.0
16,415000,"2725,50$","207,14$","2280,96$","1105,26$",Sherbrooke (Fleurimont),Estrie,"2123, rue des Merisiers",2,2,,1,960.0,10501.0
17,400000,,,,,Ste-Clotilde-De-Chateauguay,Montérégie (Rive-Sud Montréal),"46, rue des Colibris",3,2,1,1,1384.0,3290.0
18,249900,,,,,LaSalle,Montréal / l'Île,"101-7700, rue Bouvier - VIDA Lasalle - PAR MONDEV",,1,,1,478.0,
19,495000,"1822,89$","262,83$","795,57$","636,56$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"206-2244, rue Harmony",2,1,1,1,960.0,
20,199000,"1962,85$","225,31$","5000,00$","3500,00$",Ste-Victoire-De-Sorel,Montérégie (Rive-Sud Montréal),"181, rang Rhimbault",3,1,1,1,,53819.55
21,374900,"3034,85$","225,89$","2000,00$",,Gatineau (Masson-Angers),Outaouais,"185, Des Becs-Scie",5,1,1,2,1360.0,3288.4
22,749000,"3877,18$","393,32$","160,00$",,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),"419, rue Schubert",4,1,1,2,1650.0,5360.0
23,202000,,,,,Ste-Hedwidge,Saguenay-Lac-Saint-Jean,"476, chemin du Lac-Rond",2,1,,1,900.0,28925.0
24,629900,"3358,00$","388,00$","1680,00$",,Fabreville,Laval,"4216, rue Sylvio",2,1,1,2,1240.0,3833.0
25,460000,,,,,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,"12111, rue de la Gauchetière",4,1,1,2,1270.14,1575.0
26,495000,"1899,00$","251,00$",,,St-Lin-Laurentides,Lanaudière,"13, rue des Mélèzes",3,1,1,2,1500.0,14000.0
28,244900,"2619,95$","227,31$","1000,00$",,Lebourgneuf,Québec Rive-Nord,"105-2305, rue de Bogota",2,1,1,1,1267.0,
29,459000,"4400,00$","308,22$","1440,00$","1050,00$",Val-Bélair,Québec Rive-Nord,"1196, rue des Cithares",3,1,1,2,1350.0,5253.0
30,249000,"2444,00$","153,00$","2852,00$",,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"2752, rue Couture",3,2,1,2,1417.0,4570.36
31,591000,,,,,Cap-Rouge,Québec Rive-Nord,"., Domaine Le Gendre- Par SMB Dallaire",3,1,1,2,784.0,
32,559500,,,,,Repentigny (Repentigny),Lanaudière,"381, rue Laval",5,2,1,2,1639.0,7007.0
33,995000,"3987,00$","524,00$","2760,00$","1080,00$",La Prairie,Montérégie (Rive-Sud Montréal),"300, rue Médard-Hébert",5,1,1,2,2281.95,6404.53
34,74745,"185,24$",,,,St-Damien,Lanaudière,", chemin de l'Église",,,,,,22650.0
35,460000,,,,,Ste-Marthe-Sur-Le-Lac,Laurentides,40e avenue - Modèle le Granite I  Par Construction Briand,3,1,1,2,,4438.5
36,440000,"1485,22$","177,56$","1559,84$",,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"2223, rue Florian",1,1,,1,690.0,1300.0
37,326900,"1349,07$",,"500,00$",,Mirabel (St-Canut),Laurentides,"405-10085, rue de l'Épervier",2,1,,4,1065.0,
38,179000,"1747,36$","127,67$","637,39$",,Charlesbourg,Québec Rive-Nord,"102-1305, rue de la Montagne-des-Roches",2,1,,1,969.83,
40,384999,"1704,00$","160,00$",,,Blainville,Laurentides,"106-66, 37e Avenue Est",2,1,,1,1236.02,
41,225000,"2342,28$",,"197,28$",,St-Bruno,Saguenay-Lac-Saint-Jean,"510, rue de Normandie",3,2,,1,912.0,2454.0
42,385000,"3546,27$","286,49$","1149,60$","1324,00$",Beauport,Québec Rive-Nord,"53, rue Mercier",2,1,,1,975.0,5625.0
43,292000,"2383,24$","201,39$","1320,00$",,Charlesbourg,Québec Rive-Nord,"1042, rue du Prince-Albert",2,1,1,2,1221.7,2214.14
